"id","displayName","platform","rule"
"c956a377-b2fc-4650-914f-3b54222f33be","iOS/iPadOS - osVersion - 15.x","iOS","(device.osVersion -startsWith ""15."")"
"4560c73e-b0a4-44f6-bdbe-68c02beb62b0","iOS/iPadOS - osVersion - 15.x, 16.x or 17.x","iOS","(device.osVersion -startsWith ""15."") or (device.osVersion -startsWith ""16."") or (device.osVersion -startsWith ""17."")"
"b5abe352-3040-49d3-a38c-32e6acb3abde","iOS/iPadOS - osVersion - 16.x","iOS","(device.osVersion -startsWith ""16."")"
"b445f282-4c20-4b52-924f-ec302cf63811","iOS/iPadOS - osVersion - 17.x","iOS","(device.osVersion -startsWith ""17."")"
"aff5fab8-82ae-4e96-93e2-fa8fdf92a35e","macOS - cpuArchitecture - Intel","macOS","(device.cpuArchitecture -eq ""x64"")"
"7a39c10f-d4ab-4ea9-95b2-6fe611a4c396","macOS - osVersion - Sonoma","macOS","(device.osVersion -startsWith ""14."")"
"b70e9c4f-3cb7-497c-b59e-0bbefd583177","macOS - osVersion - Ventura","macOS","(device.osVersion -startsWith ""13."")"
"b5a4174b-f7e0-418d-81ba-cebfef74d3e4","macOS - osVersion - Ventura or Sonoma","macOS","(device.osVersion -startsWith ""13."") or (device.osVersion -startsWith ""14."")"
"5445d99d-3620-4c95-8ac5-4a6ff7a6fe32","xx_broken","windows10AndLater","device.deviceName -startsWith ""xMTR-"""
"5f7067e4-b774-4752-a494-ea971323e884","xx_broken2","windows10AndLater","((device.deviceName -startsWith ""MTR-"") and (device.enrollmentProfileName -eq $null)) or (device.enrollmentProfileName -eq ""Win_MTR"") or (device.model -startsWith ""Surface Hub"") or (device.model -startsWith ""HoloLens"") or ((device.deviceName -startsWith ""avd-pers-"") and (device.enrollmentProfileName -eq $null)) or (device.model -contains ""Cloud PC"") or (device.operatingSystemSKU -eq ""ServerRdsh"") or ((device.model -eq $null) and (device.enrollmentProfileName -eq $null))"
